Format Version,1.23,Take Name,Take 2026-05-07 12.43.55 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-07 12.43.55.094 PM,Capture Start Frame,1064082,Total Frames in Take,88467,Total Exported Frames,88467,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
121,1.008,,,,,,,,,,,,
122,1.017,,,,,,,,,,,,
123,1.025,,,,,,,,,,,,
124,1.033,,,,,,,,,,,,
125,1.042,,,,,,,,,,,,
126,1.05,,,,,,,,,,,,
127,1.058,,,,,,,,,,,,
128,1.067,,,,,,,,,,,,
129,1.075,,,,,,,,,,,,
130,1.083,,,,,,,,,,,,
131,1.092,,,,,,,,,,,,
132,1.1,,,,,,,,,,,,
133,1.108,,,,,,,,,,,,
134,1.117,,,,,,,,,,,,
135,1.125,,,,,,,,,,,,
136,1.133,,,,,,,,,,,,
137,1.142,,,,,,,,,,,,
138,1.15,,,,,,,,,,,,
139,1.158,,,,,,,,,,,,
140,1.167,,,,,,,,,,,,
141,1.175,,,,,,,,,,,,
142,1.183,,,,,,,,,,,,
143,1.192,,,,,,,,,,,,
144,1.2,,,,,,,,,,,,
145,1.208,,,,,,,,,,,,
146,1.217,,,,,,,,,,,,
147,1.225,,,,,,,,,,,,
148,1.233,,,,,,,,,,,,
149,1.242,,,,,,,,,,,,
150,1.25,,,,,,,,,,,,
151,1.258,,,,,,,,,,,,
152,1.267,,,,,,,,,,,,
153,1.275,,,,,,,,,,,,
154,1.283,,,,,,,,,,,,
155,1.292,,,,,,,,,,,,
156,1.3,,,,,,,,,,,,
157,1.308,,,,,,,,,,,,
158,1.317,,,,,,,,,,,,
159,1.325,,,,,,,,,,,,
160,1.333,,,,,,,,,,,,
161,1.342,,,,,,,,,,,,
162,1.35,,,,,,,,,,,,
163,1.358,,,,,,,,,,,,
164,1.367,,,,,,,,,,,,
165,1.375,,,,,,,,,,,,
166,1.383,,,,,,,,,,,,
167,1.392,,,,,,,,,,,,
168,1.4,,,,,,,,,,,,
169,1.408,,,,,,,,,,,,
170,1.417,,,,,,,,,,,,
171,1.425,,,,,,,,,,,,
172,1.433,,,,,,,,,,,,
173,1.442,,,,,,,,,,,,
174,1.45,,,,,,,,,,,,
175,1.458,,,,,,,,,,,,
176,1.467,,,,,,,,,,,,
177,1.475,,,,,,,,,,,,
178,1.483,,,,,,,,,,,,
179,1.492,,,,,,,,,,,,
180,1.5,,,,,,,,,,,,
181,1.508,,,,,,,,,,,,
182,1.517,,,,,,,,,,,,
183,1.525,,,,,,,,,,,,
184,1.533,,,,,,,,,,,,
185,1.542,,,,,,,,,,,,
186,1.55,,,,,,,,,,,,
187,1.558,,,,,,,,,,,,
188,1.567,,,,,,,,,,,,
189,1.575,,,,,,,,,,,,
190,1.583,,,,,,,,,,,,
191,1.592,,,,,,,,,,,,
192,1.6,,,,,,,,,,,,
193,1.608,,,,,,,,,,,,
194,1.617,,,,,,,,,,,,
195,1.625,,,,,,,,,,,,
196,1.633,,,,,,,,,,,,
197,1.642,,,,,,,,,,,,
198,1.65,,,,,,,,,,,,
199,1.658,,,,,,,,,,,,
200,1.667,,,,,,,,,,,,
201,1.675,,,,,,,,,,,,
202,1.683,,,,,,,,,,,,
203,1.692,,,,,,,,,,,,
204,1.7,,,,,,,,,,,,
205,1.708,,,,,,,,,,,,
206,1.717,,,,,,,,,,,,
207,1.725,,,,,,,,,,,,
208,1.733,,,,,,,,,,,,
209,1.742,,,,,,,,,,,,
210,1.75,,,,,,,,,,,,
211,1.758,,,,,,,,,,,,
212,1.767,,,,,,,,,,,,
213,1.775,,,,,,,,,,,,
214,1.783,,,,,,,,,,,,
215,1.792,,,,,,,,,,,,
216,1.8,,,,,,,,,,,,
217,1.808,,,,,,,,,,,,
218,1.817,,,,,,,,,,,,
219,1.825,,,,,,,,,,,,
220,1.833,,,,,,,,,,,,
221,1.842,,,,,,,,,,,,
222,1.85,,,,,,,,,,,,
223,1.858,,,,,,,,,,,,
224,1.867,,,,,,,,,,,,
225,1.875,,,,,,,,,,,,
226,1.883,,,,,,,,,,,,
227,1.892,,,,,,,,,,,,
228,1.9,,,,,,,,,,,,
229,1.908,,,,,,,,,,,,
230,1.917,,,,,,,,,,,,
231,1.925,,,,,,,,,,,,
232,1.933,,,,,,,,,,,,
233,1.942,,,,,,,,,,,,
234,1.95,,,,,,,,,,,,
235,1.958,,,,,,,,,,,,
236,1.967,,,,,,,,,,,,
237,1.975,,,,,,,,,,,,
238,1.983,,,,,,,,,,,,
239,1.992,,,,,,,,,,,,
240,2.0,,,,,,,,,,,,
241,2.008,,,,,,,,,,,,
242,2.017,,,,,,,,,,,,
243,2.025,,,,,,,,,,,,
244,2.033,,,,,,,,,,,,
245,2.042,,,,,,,,,,,,
246,2.05,,,,,,,,,,,,
247,2.058,,,,,,,,,,,,
248,2.067,,,,,,,,,,,,
249,2.075,,,,,,,,,,,,
250,2.083,,,,,,,,,,,,
251,2.092,,,,,,,,,,,,
252,2.1,,,,,,,,,,,,
253,2.108,,,,,,,,,,,,
254,2.117,,,,,,,,,,,,
255,2.125,,,,,,,,,,,,
256,2.133,,,,,,,,,,,,
257,2.142,,,,,,,,,,,,
258,2.15,,,,,,,,,,,,
259,2.158,,,,,,,,,,,,
260,2.167,,,,,,,,,,,,
261,2.175,,,,,,,,,,,,
262,2.183,,,,,,,,,,,,
263,2.192,,,,,,,,,,,,
264,2.2,,,,,,,,,,,,
265,2.208,,,,,,,,,,,,
266,2.217,,,,,,,,,,,,
267,2.225,,,,,,,,,,,,
268,2.233,,,,,,,,,,,,
269,2.242,,,,,,,,,,,,
270,2.25,,,,,,,,,,,,
271,2.258,,,,,,,,,,,,
272,2.267,,,,,,,,,,,,
273,2.275,,,,,,,,,,,,
274,2.283,,,,,,,,,,,,
275,2.292,,,,,,,,,,,,
276,2.3,,,,,,,,,,,,
277,2.308,,,,,,,,,,,,
278,2.317,,,,,,,,,,,,
279,2.325,,,,,,,,,,,,
280,2.333,,,,,,,,,,,,
281,2.342,,,,,,,,,,,,
282,2.35,,,,,,,,,,,,
283,2.358,,,,,,,,,,,,
284,2.367,,,,,,,,,,,,
285,2.375,,,,,,,,,,,,
286,2.383,,,,,,,,,,,,
287,2.392,,,,,,,,,,,,
288,2.4,,,,,,,,,,,,
289,2.408,,,,,,,,,,,,
290,2.417,,,,,,,,,,,,
291,2.425,,,,,,,,,,,,
292,2.433,,,,,,,,,,,,
293,2.442,,,,,,,,,,,,
294,2.45,,,,,,,,,,,,
295,2.458,,,,,,,,,,,,
296,2.467,,,,,,,,,,,,
297,2.475,,,,,,,,,,,,
298,2.483,,,,,,,,,,,,
299,2.492,,,,,,,,,,,,
300,2.5,,,,,,,,,,,,
301,2.508,,,,,,,,,,,,
302,2.517,,,,,,,,,,,,
303,2.525,,,,,,,,,,,,
304,2.533,,,,,,,,,,,,
305,2.542,,,,,,,,,,,,
306,2.55,,,,,,,,,,,,
307,2.558,,,,,,,,,,,,
308,2.567,,,,,,,,,,,,
309,2.575,,,,,,,,,,,,
310,2.583,,,,,,,,,,,,
311,2.592,,,,,,,,,,,,
312,2.6,,,,,,,,,,,,
313,2.608,,,,,,,,,,,,
314,2.617,,,,,,,,,,,,
315,2.625,,,,,,,,,,,,
316,2.633,,,,,,,,,,,,
317,2.642,,,,,,,,,,,,
318,2.65,,,,,,,,,,,,
319,2.658,,,,,,,,,,,,
320,2.667,,,,,,,,,,,,
321,2.675,,,,,,,,,,,,
322,2.683,,,,,,,,,,,,
323,2.692,,,,,,,,,,,,
324,2.7,,,,,,,,,,,,
325,2.708,,,,,,,,,,,,
326,2.717,,,,,,,,,,,,
327,2.725,,,,,,,,,,,,
328,2.733,,,,,,,,,,,,
329,2.742,,,,,,,,,,,,
330,2.75,,,,,,,,,,,,
331,2.758,,,,,,,,,,,,
332,2.767,,,,,,,,,,,,
333,2.775,,,,,,,,,,,,
334,2.783,,,,,,,,,,,,
335,2.792,,,,,,,,,,,,
336,2.8,,,,,,,,,,,,
337,2.808,,,,,,,,,,,,
338,2.817,,,,,,,,,,,,
339,2.825,,,,,,,,,,,,
340,2.833,,,,,,,,,,,,
341,2.842,,,,,,,,,,,,
342,2.85,,,,,,,,,,,,
343,2.858,,,,,,,,,,,,
344,2.867,,,,,,,,,,,,
345,2.875,,,,,,,,,,,,
346,2.883,,,,,,,,,,,,
347,2.892,,,,,,,,,,,,
348,2.9,,,,,,,,,,,,
349,2.908,,,,,,,,,,,,
350,2.917,,,,,,,,,,,,
351,2.925,,,,,,,,,,,,
352,2.933,,,,,,,,,,,,
353,2.942,,,,,,,,,,,,
354,2.95,,,,,,,,,,,,
355,2.958,,,,,,,,,,,,
356,2.967,,,,,,,,,,,,
357,2.975,,,,,,,,,,,,
358,2.983,,,,,,,,,,,,
359,2.992,,,,,,,,,,,,
360,3.0,,,,,,,,,,,,
361,3.008,,,,,,,,,,,,
362,3.017,,,,,,,,,,,,
363,3.025,,,,,,,,,,,,
364,3.033,,,,,,,,,,,,
365,3.042,,,,,,,,,,,,
366,3.05,,,,,,,,,,,,
367,3.058,,,,,,,,,,,,
368,3.067,,,,,,,,,,,,
369,3.075,,,,,,,,,,,,
370,3.083,,,,,,,,,,,,
371,3.092,,,,,,,,,,,,
372,3.1,,,,,,,,,,,,
373,3.108,,,,,,,,,,,,
374,3.117,,,,,,,,,,,,
375,3.125,,,,,,,,,,,,
376,3.133,,,,,,,,,,,,
377,3.142,,,,,,,,,,,,
378,3.15,,,,,,,,,,,,
379,3.158,,,,,,,,,,,,
380,3.167,,,,,,,,,,,,
381,3.175,,,,,,,,,,,,
382,3.183,,,,,,,,,,,,
383,3.192,,,,,,,,,,,,
384,3.2,,,,,,,,,,,,
385,3.208,,,,,,,,,,,,
386,3.217,,,,,,,,,,,,
387,3.225,,,,,,,,,,,,
388,3.233,,,,,,,,,,,,
389,3.242,,,,,,,,,,,,
390,3.25,,,,,,,,,,,,
391,3.258,,,,,,,,,,,,
392,3.267,,,,,,,,,,,,
393,3.275,,,,,,,,,,,,
394,3.283,,,,,,,,,,,,
395,3.292,,,,,,,,,,,,
396,3.3,,,,,,,,,,,,
397,3.308,,,,,,,,,,,,
398,3.317,,,,,,,,,,,,
399,3.325,,,,,,,,,,,,
400,3.333,,,,,,,,,,,,
401,3.342,,,,,,,,,,,,
402,3.35,,,,,,,,,,,,
403,3.358,,,,,,,,,,,,
404,3.367,,,,,,,,,,,,
405,3.375,,,,,,,,,,,,
406,3.383,,,,,,,,,,,,
407,3.392,,,,,,,,,,,,
408,3.4,,,,,,,,,,,,
409,3.408,,,,,,,,,,,,
410,3.417,,,,,,,,,,,,
411,3.425,,,,,,,,,,,,
412,3.433,,,,,,,,,,,,
413,3.442,,,,,,,,,,,,
414,3.45,,,,,,,,,,,,
415,3.458,,,,,,,,,,,,
416,3.467,,,,,,,,,,,,
417,3.475,,,,,,,,,,,,
418,3.483,,,,,,,,,,,,
419,3.492,,,,,,,,,,,,
420,3.5,,,,,,,,,,,,
421,3.508,,,,,,,,,,,,
422,3.517,,,,,,,,,,,,
423,3.525,,,,,,,,,,,,
424,3.533,,,,,,,,,,,,
425,3.542,,,,,,,,,,,,
426,3.55,,,,,,,,,,,,
427,3.558,,,,,,,,,,,,
428,3.567,,,,,,,,,,,,
429,3.575,,,,,,,,,,,,
430,3.583,,,,,,,,,,,,
431,3.592,,,,,,,,,,,,
432,3.6,,,,,,,,,,,,
433,3.608,,,,,,,,,,,,
434,3.617,,,,,,,,,,,,
435,3.625,,,,,,,,,,,,
436,3.633,,,,,,,,,,,,
437,3.642,,,,,,,,,,,,
438,3.65,,,,,,,,,,,,
439,3.658,,,,,,,,,,,,
440,3.667,,,,,,,,,,,,
441,3.675,,,,,,,,,,,,
442,3.683,,,,,,,,,,,,
443,3.692,,,,,,,,,,,,
444,3.7,,,,,,,,,,,,
445,3.708,,,,,,,,,,,,
446,3.717,,,,,,,,,,,,
447,3.725,,,,,,,,,,,,
448,3.733,,,,,,,,,,,,
449,3.742,,,,,,,,,,,,
450,3.75,,,,,,,,,,,,
451,3.758,,,,,,,,,,,,
452,3.767,,,,,,,,,,,,
453,3.775,,,,,,,,,,,,
454,3.783,,,,,,,,,,,,
455,3.792,,,,,,,,,,,,
456,3.8,,,,,,,,,,,,
457,3.808,,,,,,,,,,,,
458,3.817,,,,,,,,,,,,
459,3.825,,,,,,,,,,,,
460,3.833,,,,,,,,,,,,
461,3.842,,,,,,,,,,,,
462,3.85,,,,,,,,,,,,
463,3.858,,,,,,,,,,,,
464,3.867,,,,,,,,,,,,
465,3.875,,,,,,,,,,,,
466,3.883,,,,,,,,,,,,
467,3.892,,,,,,,,,,,,
468,3.9,,,,,,,,,,,,
469,3.908,,,,,,,,,,,,
470,3.917,,,,,,,,,,,,
471,3.925,,,,,,,,,,,,
472,3.933,,,,,,,,,,,,
473,3.942,,,,,,,,,,,,
474,3.95,,,,,,,,,,,,
475,3.958,,,,,,,,,,,,
476,3.967,,,,,,,,,,,,
477,3.975,,,,,,,,,,,,
478,3.983,,,,,,,,,,,,
479,3.992,,,,,,,,,,,,
480,4.0,,,,,,,,,,,,
481,4.008,,,,,,,,,,,,
482,4.017,,,,,,,,,,,,
483,4.025,,,,,,,,,,,,
484,4.033,,,,,,,,,,,,
485,4.042,,,,,,,,,,,,
486,4.05,,,,,,,,,,,,
487,4.058,,,,,,,,,,,,
488,4.067,,,,,,,,,,,,
489,4.075,,,,,,,,,,,,
490,4.083,,,,,,,,,,,,
491,4.092,,,,,,,,,,,,
492,4.1,,,,,,,,,,,,
493,4.108,,,,,,,,,,,,
494,4.117,,,,,,,,,,,,
495,4.125,,,,,,,,,,,,
496,4.133,,,,,,,,,,,,
497,4.142,,,,,,,,,,,,
498,4.15,,,,,,,,,,,,
499,4.158,,,,,,,,,,,,
500,4.167,,,,,,,,,,,,
501,4.175,,,,,,,,,,,,
502,4.183,,,,,,,,,,,,
503,4.192,,,,,,,,,,,,
504,4.2,,,,,,,,,,,,
505,4.208,,,,,,,,,,,,
506,4.217,,,,,,,,,,,,
507,4.225,,,,,,,,,,,,
508,4.233,,,,,,,,,,,,
509,4.242,,,,,,,,,,,,
510,4.25,,,,,,,,,,,,
511,4.258,,,,,,,,,,,,
512,4.267,,,,,,,,,,,,
513,4.275,,,,,,,,,,,,
514,4.283,,,,,,,,,,,,
515,4.292,,,,,,,,,,,,
516,4.3,,,,,,,,,,,,
517,4.308,,,,,,,,,,,,
518,4.317,,,,,,,,,,,,
519,4.325,,,,,,,,,,,,
520,4.333,,,,,,,,,,,,
521,4.342,,,,,,,,,,,,
522,4.35,,,,,,,,,,,,
523,4.358,,,,,,,,,,,,
524,4.367,,,,,,,,,,,,
525,4.375,,,,,,,,,,,,
526,4.383,,,,,,,,,,,,
527,4.392,,,,,,,,,,,,
528,4.4,,,,,,,,,,,,
529,4.408,,,,,,,,,,,,
530,4.417,,,,,,,,,,,,
531,4.425,,,,,,,,,,,,
532,4.433,,,,,,,,,,,,
533,4.442,,,,,,,,,,,,
534,4.45,,,,,,,,,,,,
535,4.458,,,,,,,,,,,,
536,4.467,,,,,,,,,,,,
537,4.475,,,,,,,,,,,,
538,4.483,,,,,,,,,,,,
539,4.492,,,,,,,,,,,,
540,4.5,,,,,,,,,,,,
541,4.508,,,,,,,,,,,,
542,4.517,,,,,,,,,,,,
543,4.525,,,,,,,,,,,,
544,4.533,,,,,,,,,,,,
545,4.542,,,,,,,,,,,,
546,4.55,,,,,,,,,,,,
547,4.558,,,,,,,,,,,,
548,4.567,,,,,,,,,,,,
549,4.575,,,,,,,,,,,,
550,4.583,,,,,,,,,,,,
551,4.592,,,,,,,,,,,,
552,4.6,,,,,,,,,,,,
553,4.608,,,,,,,,,,,,
554,4.617,,,,,,,,,,,,
555,4.625,,,,,,,,,,,,
556,4.633,,,,,,,,,,,,
557,4.642,,,,,,,,,,,,
558,4.65,,,,,,,,,,,,
559,4.658,,,,,,,,,,,,
560,4.667,,,,,,,,,,,,
561,4.675,,,,,,,,,,,,
562,4.683,,,,,,,,,,,,
563,4.692,,,,,,,,,,,,
564,4.7,,,,,,,,,,,,
565,4.708,,,,,,,,,,,,
566,4.717,,,,,,,,,,,,
567,4.725,,,,,,,,,,,,
568,4.733,,,,,,,,,,,,
569,4.742,,,,,,,,,,,,
570,4.75,,,,,,,,,,,,
571,4.758,,,,,,,,,,,,
572,4.767,,,,,,,,,,,,
573,4.775,,,,,,,,,,,,
574,4.783,,,,,,,,,,,,
575,4.792,,,,,,,,,,,,
576,4.8,,,,,,,,,,,,
577,4.808,,,,,,,,,,,,
578,4.817,,,,,,,,,,,,
579,4.825,,,,,,,,,,,,
580,4.833,,,,,,,,,,,,
581,4.842,,,,,,,,,,,,
582,4.85,,,,,,,,,,,,
583,4.858,,,,,,,,,,,,
584,4.867,,,,,,,,,,,,
585,4.875,,,,,,,,,,,,
586,4.883,,,,,,,,,,,,
587,4.892,,,,,,,,,,,,
588,4.9,,,,,,,,,,,,
589,4.908,,,,,,,,,,,,
590,4.917,,,,,,,,,,,,
591,4.925,,,,,,,,,,,,
592,4.933,,,,,,,,,,,,
593,4.942,,,,,,,,,,,,
594,4.95,,,,,,,,,,,,
595,4.958,,,,,,,,,,,,
596,4.967,,,,,,,,,,,,
597,4.975,,,,,,,,,,,,
598,4.983,,,,,,,,,,,,
599,4.992,,,,,,,,,,,,
600,5.0,,,,,,,,,,,,
601,5.008,,,,,,,,,,,,
602,5.017,,,,,,,,,,,,
603,5.025,,,,,,,,,,,,
604,5.033,,,,,,,,,,,,
605,5.042,,,,,,,,,,,,
606,5.05,,,,,,,,,,,,
607,5.058,,,,,,,,,,,,
608,5.067,,,,,,,,,,,,
609,5.075,,,,,,,,,,,,
610,5.083,,,,,,,,,,,,
611,5.092,,,,,,,,,,,,
612,5.1,,,,,,,,,,,,
613,5.108,,,,,,,,,,,,
614,5.117,,,,,,,,,,,,
615,5.125,,,,,,,,,,,,
616,5.133,,,,,,,,,,,,
617,5.142,,,,,,,,,,,,
618,5.15,,,,,,,,,,,,
619,5.158,,,,,,,,,,,,
620,5.167,,,,,,,,,,,,
621,5.175,,,,,,,,,,,,
622,5.183,,,,,,,,,,,,
623,5.192,,,,,,,,,,,,
624,5.2,,,,,,,,,,,,
625,5.208,,,,,,,,,,,,
626,5.217,,,,,,,,,,,,
627,5.225,,,,,,,,,,,,
628,5.233,,,,,,,,,,,,
629,5.242,,,,,,,,,,,,
630,5.25,,,,,,,,,,,,
631,5.258,,,,,,,,,,,,
632,5.267,,,,,,,,,,,,
633,5.275,,,,,,,,,,,,
634,5.283,,,,,,,,,,,,
635,5.292,,,,,,,,,,,,
636,5.3,,,,,,,,,,,,
637,5.308,,,,,,,,,,,,
638,5.317,,,,,,,,,,,,
639,5.325,,,,,,,,,,,,
640,5.333,,,,,,,,,,,,
641,5.342,,,,,,,,,,,,
642,5.35,,,,,,,,,,,,
643,5.358,,,,,,,,,,,,
644,5.367,,,,,,,,,,,,
645,5.375,,,,,,,,,,,,
646,5.383,,,,,,,,,,,,
647,5.392,,,,,,,,,,,,
648,5.4,,,,,,,,,,,,
649,5.408,,,,,,,,,,,,
650,5.417,,,,,,,,,,,,
651,5.425,,,,,,,,,,,,
652,5.433,,,,,,,,,,,,
653,5.442,,,,,,,,,,,,
654,5.45,,,,,,,,,,,,
655,5.458,,,,,,,,,,,,
656,5.467,,,,,,,,,,,,
657,5.475,,,,,,,,,,,,
658,5.483,,,,,,,,,,,,
659,5.492,,,,,,,,,,,,
660,5.5,,,,,,,,,,,,
661,5.508,,,,,,,,,,,,
662,5.517,,,,,,,,,,,,
663,5.525,,,,,,,,,,,,
664,5.533,,,,,,,,,,,,
665,5.542,,,,,,,,,,,,
666,5.55,,,,,,,,,,,,
667,5.558,,,,,,,,,,,,
668,5.567,,,,,,,,,,,,
669,5.575,,,,,,,,,,,,
670,5.583,,,,,,,,,,,,
671,5.592,,,,,,,,,,,,
672,5.6,,,,,,,,,,,,
673,5.608,,,,,,,,,,,,
674,5.617,,,,,,,,,,,,
675,5.625,,,,,,,,,,,,
676,5.633,,,,,,,,,,,,
677,5.642,,,,,,,,,,,,
678,5.65,,,,,,,,,,,,
679,5.658,,,,,,,,,,,,
680,5.667,,,,,,,,,,,,
681,5.675,,,,,,,,,,,,
682,5.683,,,,,,,,,,,,
683,5.692,,,,,,,,,,,,
684,5.7,,,,,,,,,,,,
685,5.708,,,,,,,,,,,,
686,5.717,,,,,,,,,,,,
687,5.725,,,,,,,,,,,,
688,5.733,,,,,,,,,,,,
689,5.742,,,,,,,,,,,,
690,5.75,,,,,,,,,,,,
691,5.758,,,,,,,,,,,,
692,5.767,,,,,,,,,,,,
693,5.775,,,,,,,,,,,,
694,5.783,,,,,,,,,,,,
695,5.792,,,,,,,,,,,,
696,5.8,,,,,,,,,,,,
697,5.808,,,,,,,,,,,,
698,5.817,,,,,,,,,,,,
699,5.825,,,,,,,,,,,,
700,5.833,,,,,,,,,,,,
701,5.842,,,,,,,,,,,,
702,5.85,,,,,,,,,,,,
703,5.858,,,,,,,,,,,,
704,5.867,,,,,,,,,,,,
705,5.875,,,,,,,,,,,,
706,5.883,,,,,,,,,,,,
707,5.892,,,,,,,,,,,,
708,5.9,,,,,,,,,,,,
709,5.908,,,,,,,,,,,,
710,5.917,,,,,,,,,,,,
711,5.925,,,,,,,,,,,,
712,5.933,,,,,,,,,,,,
713,5.942,,,,,,,,,,,,
714,5.95,,,,,,,,,,,,
715,5.958,,,,,,,,,,,,
716,5.967,,,,,,,,,,,,
717,5.975,,,,,,,,,,,,
718,5.983,,,,,,,,,,,,
719,5.992,,,,,,,,,,,,
720,6.0,,,,,,,,,,,,
721,6.008,,,,,,,,,,,,
722,6.017,,,,,,,,,,,,
723,6.025,,,,,,,,,,,,
